"Label (Grouping)","Occupied housing units","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!White","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Black or African American","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!American Indian and Alaska Native","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Asian","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Native Hawaiian and Other Pacific Islander","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Some other race","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Two or more races","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Hispanic or Latino origin","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!White alone, not Hispanic or Latino","Occupied housing units!!AGE OF HOUSEHOLDER","Occupied housing units!!AGE OF HOUSEHOLDER!!Under 35 years","Occupied housing units!!AGE OF HOUSEHOLDER!!35 to 44 years","Occupied housing units!!AGE OF HOUSEHOLDER!!45 to 54 years","Occupied housing units!!AGE OF HOUSEHOLDER!!55 to 64 years","Occupied housing units!!AGE OF HOUSEHOLDER!!65 to 74 years","Occupied housing units!!AGE OF HOUSEHOLDER!!75 to 84 years","Occupied housing units!!AGE OF HOUSEHOLDER!!85 years and over","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency)","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college or associate's degree","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2017 or later","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2015 to 2016","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2010 to 2014","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2000 to 2009","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1990 to 1999","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1989 or earlier"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","189,292","","","88.4%","1.0%","1.8%","1.5%","0.3%","3.8%","3.2%","13.6%","79.8%","","41.1%","18.9%","14.8%","11.1%","7.2%","4.2%","2.7%","","10.5%","28.7%","40.9%","19.9%","","21.9%","29.4%","31.6%","13.6%","2.3%","1.2%"
"        Margin of Error","±2,642","","","±0.6","±0.2","±0.2","±0.2","±0.1","±0.4","±0.4","±0.6","±0.6","","±0.9","±0.6","±0.6","±0.5","±0.4","±0.3","±0.3","","±0.6","±0.8","±1.0","±0.8","","±0.7","±0.9","±0.8","±0.7","±0.3","±0.1"
"Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,846,134","","","3,654,197","674,203","11,527","231,623","1,352","199,860","73,372","576,009","3,303,726","","920,298","850,906","912,022","945,054","682,648","370,370","164,836","","439,650","1,140,083","1,479,370","1,787,031","","453,322","694,700","1,136,557","1,204,336","666,662","690,557"
"        Margin of Error","±10,459","","","±9,196","±3,483","±710","±2,150","±228","±2,752","±1,912","±3,091","±7,483","","±5,485","±3,724","±3,412","±3,493","±3,153","±2,910","±2,309","","±4,502","±7,138","±7,290","±12,017","","±4,663","±5,703","±6,184","±6,629","±6,237","±4,311"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,846,134","","","75.4%","13.9%","0.2%","4.8%","0.0%","4.1%","1.5%","11.9%","68.2%","","19.0%","17.6%","18.8%","19.5%","14.1%","7.6%","3.4%","","9.1%","23.5%","30.5%","36.9%","","9.4%","14.3%","23.5%","24.9%","13.8%","14.2%"
"        Margin of Error","±10,459","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.1","±0.2","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,202,715","","","2,658,777","261,615","6,084","140,390","717","98,478","36,654","306,528","2,463,555","","329,570","529,343","662,790","724,098","545,814","293,800","117,300","","225,879","718,550","959,447","1,298,839","","154,888","264,826","558,382","968,053","605,902","650,664"
"        Margin of Error","±16,823","","","±12,779","±3,216","±514","±2,226","±159","±2,150","±1,076","±4,097","±10,685","","±4,750","±4,950","±4,062","±3,918","±3,214","±2,829","±2,049","","±2,866","±5,198","±6,745","±11,307","","±2,586","±3,423","±5,204","±6,895","±6,221","±4,128"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,202,715","","","83.0%","8.2%","0.2%","4.4%","0.0%","3.1%","1.1%","9.6%","76.9%","","10.3%","16.5%","20.7%","22.6%","17.0%","9.2%","3.7%","","7.1%","22.4%","30.0%","40.6%","","4.8%","8.3%","17.4%","30.2%","18.9%","20.3%"
"        Margin of Error","±16,823","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±0.1","±0.1","±0.1","±0.1","±0.2","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,643,419","","","995,420","412,588","5,443","91,233","635","101,382","36,718","269,481","840,171","","590,728","321,563","249,232","220,956","136,834","76,570","47,536","","213,771","421,533","519,923","488,192","","298,434","429,874","578,175","236,283","60,760","39,893"
"        Margin of Error","±10,182","","","±7,314","±4,449","±583","±1,750","±173","±2,519","±1,566","±3,955","±6,252","","±4,150","±4,689","±3,452","±3,044","±2,091","±1,701","±1,241","","±3,614","±5,610","±5,183","±4,181","","±3,624","±5,040","±6,490","±3,721","±1,832","±1,336"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,643,419","","","60.6%","25.1%","0.3%","5.6%","0.0%","6.2%","2.2%","16.4%","51.1%","","35.9%","19.6%","15.2%","13.4%","8.3%","4.7%","2.9%","","13.0%","25.6%","31.6%","29.7%","","18.2%","26.2%","35.2%","14.4%","3.7%","2.4%"
"        Margin of Error","±10,182","","","±0.3","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.2","","±0.2","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1","","±0.2","±0.3","±0.2","±0.3","","±0.2","±0.3","±0.3","±0.2","±0.1","±0.1"
"Indiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,570,419","","","2,204,679","235,992","6,320","46,681","516","40,750","35,481","122,060","2,129,510","","519,901","430,873","470,653","505,433","369,071","194,105","80,383","","248,653","805,725","795,131","720,910","","269,343","389,346","609,434","606,975","334,401","360,920"
"        Margin of Error","±7,538","","","±6,787","±2,178","±565","±1,030","±127","±1,346","±1,445","±1,683","±6,148","","±4,095","±2,206","±2,964","±2,289","±2,178","±1,892","±1,426","","±3,722","±5,078","±5,612","±7,167","","±3,998","±4,066","±5,460","±4,619","±3,609","±2,901"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,570,419","","","85.8%","9.2%","0.2%","1.8%","0.0%","1.6%","1.4%","4.7%","82.8%","","20.2%","16.8%","18.3%","19.7%","14.4%","7.6%","3.1%","","9.7%","31.3%","30.9%","28.0%","","10.5%","15.1%","23.7%","23.6%","13.0%","14.0%"
"        Margin of Error","±7,538","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.2","±0.2","±0.2","","±0.2","±0.2","±0.2","±0.2","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,776,182","","","1,621,620","87,723","3,783","24,467","220","20,106","18,263","65,469","1,579,317","","213,956","285,687","351,531","399,776","306,647","160,593","57,992","","137,262","544,173","531,704","563,043","","96,339","162,264","340,843","515,486","314,241","347,009"
"        Margin of Error","±10,208","","","±9,088","±1,811","±459","±742","±92","±1,006","±937","±1,545","±8,380","","±3,648","±3,164","±3,303","±2,582","±2,243","±1,783","±1,272","","±2,245","±4,601","±5,033","±6,380","","±2,198","±2,874","±4,480","±4,412","±3,615","±2,955"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,776,182","","","91.3%","4.9%","0.2%","1.4%","0.0%","1.1%","1.0%","3.7%","88.9%","","12.0%","16.1%","19.8%","22.5%","17.3%","9.0%","3.3%","","7.7%","30.6%","29.9%","31.7%","","5.4%","9.1%","19.2%","29.0%","17.7%","19.5%"
"        Margin of Error","±10,208","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±0.1","±0.2","±0.2","±0.2","±0.2","±0.2"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","794,237","","","583,059","148,269","2,537","22,214","296","20,644","17,218","56,591","550,193","","305,945","145,186","119,122","105,657","62,424","33,512","22,391","","111,391","261,552","263,427","157,867","","173,004","227,082","268,591","91,489","20,160","13,911"
"        Margin of Error","±5,512","","","±4,874","±2,301","±385","±993","±95","±1,063","±1,076","±1,542","±4,753","","±3,584","±2,808","±2,755","±2,195","±1,539","±1,131","±801","","±2,914","±3,731","±3,984","±2,851","","±4,066","±3,095","±3,865","±1,779","±931","±751"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","794,237","","","73.4%","18.7%","0.3%","2.8%","0.0%","2.6%","2.2%","7.1%","69.3%","","38.5%","18.3%","15.0%","13.3%","7.9%","4.2%","2.8%","","14.0%","32.9%","33.2%","19.9%","","21.8%","28.6%","33.8%","11.5%","2.5%","1.8%"
"        Margin of Error","±5,512","","","±0.3","±0.3","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.3","","±0.4","±0.3","±0.3","±0.2","±0.2","±0.1","±0.1","","±0.3","±0.4","±0.5","±0.4","","±0.5","±0.4","±0.4","±0.2","±0.1","±0.1"
"Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,265,473","","","1,173,100","38,844","3,935","24,211","950","10,926","13,507","50,400","1,135,997","","273,723","204,413","213,951","242,919","176,699","102,448","51,320","","87,327","364,005","439,970","374,171","","130,759","184,378","299,963","301,742","161,565","187,066"
"        Margin of Error","±4,009","","","±3,759","±915","±345","±674","±194","±620","±904","±869","±3,619","","±2,689","±1,336","±1,474","±1,462","±1,319","±999","±1,096","","±1,614","±3,240","±3,526","±4,344","","±2,192","±2,392","±3,105","±2,852","±2,197","±1,651"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,265,473","","","92.7%","3.1%","0.3%","1.9%","0.1%","0.9%","1.1%","4.0%","89.8%","","21.6%","16.2%","16.9%","19.2%","14.0%","8.1%","4.1%","","6.9%","28.8%","34.8%","29.6%","","10.3%","14.6%","23.7%","23.8%","12.8%","14.8%"
"        Margin of Error","±4,009","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.3","±0.3","±0.3","","±0.2","±0.2","±0.2","±0.2","±0.2","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","899,223","","","863,658","9,470","1,783","12,581","287","5,079","6,365","26,119","843,659","","122,077","145,130","166,510","198,586","149,513","84,115","33,292","","48,382","255,051","302,996","292,794","","47,451","81,189","183,306","257,443","150,953","178,881"
"        Margin of Error","±5,033","","","±4,582","±684","±272","±647","±123","±431","±537","±877","±4,133","","±2,288","±1,462","±1,440","±1,582","±1,310","±1,050","±924","","±1,286","±2,371","±3,042","±3,517","","±1,324","±1,646","±2,702","±2,713","±2,012","±1,578"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","899,223","","","96.0%","1.1%","0.2%","1.4%","0.0%","0.6%","0.7%","2.9%","93.8%","","13.6%","16.1%","18.5%","22.1%","16.6%","9.4%","3.7%","","5.4%","28.4%","33.7%","32.6%","","5.3%","9.0%","20.4%","28.6%","16.8%","19.9%"
"        Margin of Error","±5,033","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.1","±0.1","±0.2","±0.1","±0.1","±0.1","","±0.1","±0.3","±0.3","±0.3","","±0.1","±0.2","±0.3","±0.3","±0.2","±0.2"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","366,250","","","309,442","29,374","2,152","11,630","663","5,847","7,142","24,281","292,338","","151,646","59,283","47,441","44,333","27,186","18,333","18,028","","38,945","108,954","136,974","81,377","","83,308","103,189","116,657","44,299","10,612","8,185"
"        Margin of Error","±3,003","","","±2,976","±1,004","±272","±593","±160","±521","±685","±934","±2,805","","±1,935","±1,585","±1,363","±1,354","±1,024","±702","±693","","±1,350","±2,270","±2,252","±1,978","","±1,707","±2,351","±2,102","±1,243","±683","±471"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","366,250","","","84.5%","8.0%","0.6%","3.2%","0.2%","1.6%","2.0%","6.6%","79.8%","","41.4%","16.2%","13.0%","12.1%","7.4%","5.0%","4.9%","","10.6%","29.7%","37.4%","22.2%","","22.7%","28.2%","31.9%","12.1%","2.9%","2.2%"
"        Margin of Error","±3,003","","","±0.3","±0.3","±0.1","±0.2","±0.1","±0.1","±0.2","±0.2","±0.4","","±0.5","±0.4","±0.3","±0.4","±0.3","±0.2","±0.2","","±0.3","±0.6","±0.5","±0.5","","±0.4","±0.6","±0.5","±0.3","±0.2","±0.1"
"Kansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,129,227","","","986,043","64,559","8,625","26,705","542","19,859","22,894","93,730","917,299","","249,744","186,416","193,040","218,122","156,092","86,134","39,679","","87,752","268,409","381,206","391,860","","129,903","180,440","271,684","264,844","139,606","142,750"
"        Margin of Error","±4,275","","","±3,894","±1,139","±486","±723","±126","±1,027","±997","±1,262","±3,613","","±3,114","±1,867","±1,727","±1,347","±1,417","±1,292","±1,196","","±1,966","±3,071","±3,260","±4,454","","±2,631","±2,760","±2,903","±2,937","±2,172","±1,787"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,129,227","","","87.3%","5.7%","0.8%","2.4%","0.0%","1.8%","2.0%","8.3%","81.2%","","22.1%","16.5%","17.1%","19.3%","13.8%","7.6%","3.5%","","7.8%","23.8%","33.8%","34.7%","","11.5%","16.0%","24.1%","23.5%","12.4%","12.6%"
"        Margin of Error","±4,275","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.3","±0.3","±0.3","","±0.2","±0.2","±0.2","±0.2","±0.2","±0.2"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","748,123","","","684,204","22,489","3,908","14,752","214","11,149","11,407","49,069","648,434","","93,161","121,503","140,800","171,259","127,433","67,951","26,016","","45,732","166,609","238,591","297,191","","41,117","68,373","148,286","223,033","130,649","136,665"
"        Margin of Error","±5,351","","","±4,779","±816","±320","±531","±108","±781","±660","±1,173","±4,477","","±2,169","±1,820","±1,580","±1,589","±1,373","±1,311","±779","","±1,325","±2,673","±2,967","±3,727","","±1,262","±1,790","±2,363","±2,778","±2,022","±1,803"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","748,123","","","91.5%","3.0%","0.5%","2.0%","0.0%","1.5%","1.5%","6.6%","86.7%","","12.5%","16.2%","18.8%","22.9%","17.0%","9.1%","3.5%","","6.1%","22.3%","31.9%","39.7%","","5.5%","9.1%","19.8%","29.8%","17.5%","18.3%"
"        Margin of Error","±5,351","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.2","±0.2","±0.2","±0.2","±0.2","±0.2","±0.1","","±0.2","±0.3","±0.4","±0.4","","±0.2","±0.2","±0.3","±0.3","±0.2","±0.2"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","381,104","","","301,839","42,070","4,717","11,953","328","8,710","11,487","44,661","268,865","","156,583","64,913","52,240","46,863","28,659","18,183","13,663","","42,020","101,800","142,615","94,669","","88,786","112,067","123,398","41,811","8,957","6,085"
"        Margin of Error","±3,181","","","±2,794","±1,016","±416","±643","±63","±661","±704","±1,370","±2,637","","±2,628","±1,737","±1,390","±1,230","±813","±765","±817","","±1,460","±2,077","±2,370","±1,905","","±2,311","±2,062","±2,310","±1,406","±609","±425"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","381,104","","","79.2%","11.0%","1.2%","3.1%","0.1%","2.3%","3.0%","11.7%","70.5%","","41.1%","17.0%","13.7%","12.3%","7.5%","4.8%","3.6%","","11.0%","26.7%","37.4%","24.8%","","23.3%","29.4%","32.4%","11.0%","2.4%","1.6%"
"        Margin of Error","±3,181","","","±0.4","±0.2","±0.1","±0.2","±0.1","±0.2","±0.2","±0.3","±0.4","","±0.6","±0.4","±0.4","±0.3","±0.2","±0.2","±0.2","","±0.4","±0.5","±0.5","±0.5","","±0.5","±0.5","±0.6","±0.4","±0.2","±0.1"
"Kentucky","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,734,618","","","1,537,487","140,519","3,676","20,327","816","10,588","21,205","43,049","1,507,458","","334,608","282,198","319,355","348,430","264,469","136,387","49,171","","219,386","530,713","534,272","450,247","","178,650","256,184","399,089","420,628","231,301","248,766"
"        Margin of Error","±4,886","","","±4,556","±1,569","±457","±650","±211","±677","±1,071","±973","±4,275","","±2,690","±2,124","±2,349","±1,995","±1,706","±1,456","±1,350","","±3,422","±3,974","±4,521","±5,573","","±3,344","±3,463","±4,157","±3,741","±2,518","±3,063"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,734,618","","","88.6%","8.1%","0.2%","1.2%","0.0%","0.6%","1.2%","2.5%","86.9%","","19.3%","16.3%","18.4%","20.1%","15.2%","7.9%","2.8%","","12.6%","30.6%","30.8%","26.0%","","10.3%","14.8%","23.0%","24.2%","13.3%","14.3%"
"        Margin of Error","±4,886","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.2","±0.2","±0.3","","±0.2","±0.2","±0.2","±0.2","±0.1","±0.2"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,166,031","","","1,089,211","51,367","1,804","10,177","280","2,936","10,256","16,212","1,076,612","","128,125","177,797","225,989","265,655","217,531","113,283","37,651","","128,443","353,457","337,522","346,609","","60,159","99,970","210,842","346,925","212,604","235,531"
"        Margin of Error","±7,540","","","±6,799","±1,324","±252","±501","±105","±385","±673","±976","±6,438","","±2,329","±2,684","±2,597","±2,140","±1,760","±1,556","±1,228","","±2,448","±3,308","±3,923","±4,960","","±1,923","±2,170","±3,381","±3,927","±2,575","±3,025"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,166,031","","","93.4%","4.4%","0.2%","0.9%","0.0%","0.3%","0.9%","1.4%","92.3%","","11.0%","15.2%","19.4%","22.8%","18.7%","9.7%","3.2%","","11.0%","30.3%","28.9%","29.7%","","5.2%","8.6%","18.1%","29.8%","18.2%","20.2%"
"        Margin of Error","±7,540","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.2","±0.2","±0.2","±0.2","±0.1","±0.1","","±0.2","±0.3","±0.3","±0.3","","±0.2","±0.2","±0.2","±0.3","±0.2","±0.2"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","568,587","","","448,276","89,152","1,872","10,150","536","7,652","10,949","26,837","430,846","","206,483","104,401","93,366","82,775","46,938","23,104","11,520","","90,943","177,256","196,750","103,638","","118,491","156,214","188,247","73,703","18,697","13,235"
"        Margin of Error","±4,771","","","±4,324","±1,497","±342","±596","±198","±621","±855","±917","±4,371","","±2,558","±2,519","±2,344","±2,101","±1,468","±1,035","±751","","±2,107","±2,781","±3,042","±2,163","","±2,726","±2,948","±3,144","±1,862","±855","±693"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","568,587","","","78.8%","15.7%","0.3%","1.8%","0.1%","1.3%","1.9%","4.7%","75.8%","","36.3%","18.4%","16.4%","14.6%","8.3%","4.1%","2.0%","","16.0%","31.2%","34.6%","18.2%","","20.8%","27.5%","33.1%","13.0%","3.3%","2.3%"
"        Margin of Error","±4,771","","","±0.3","±0.3","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.4","","±0.4","±0.4","±0.4","±0.3","±0.2","±0.2","±0.1","","±0.3","±0.4","±0.5","±0.4","","±0.4","±0.4","±0.5","±0.3","±0.2","±0.1"
"Louisiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,739,497","","","1,137,121","527,045","9,739","24,448","376","19,249","21,519","71,503","1,088,755","","350,129","293,879","307,259","347,067","259,106","133,686","48,371","","228,914","555,484","508,565","446,534","","162,056","253,730","409,122","423,312","217,332","273,945"
"        Margin of Error","±5,804","","","±4,394","±3,013","±593","±703","±145","±1,098","±1,097","±1,239","±4,001","","±3,742","±2,457","±2,201","±2,465","±1,862","±1,634","±1,222","","±2,987","±4,854","±4,586","±5,509","","±3,122","±4,232","±4,705","±4,496","±3,268","±2,879"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,739,497","","","65.4%","30.3%","0.6%","1.4%","0.0%","1.1%","1.2%","4.1%","62.6%","","20.1%","16.9%","17.7%","20.0%","14.9%","7.7%","2.8%","","13.2%","31.9%","29.2%","25.7%","","9.3%","14.6%","23.5%","24.3%","12.5%","15.7%"
"        Margin of Error","±5,804","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.3","±0.2","±0.3","","±0.2","±0.2","±0.3","±0.2","±0.2","±0.2"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,141,205","","","849,614","248,607","6,717","16,086","145","7,108","12,928","32,308","826,063","","131,609","175,593","213,115","262,022","208,835","111,612","38,419","","123,129","354,769","322,788","340,519","","49,575","90,948","208,935","341,034","196,904","253,809"
"        Margin of Error","±7,913","","","±5,095","±3,078","±523","±682","±64","±686","±791","±1,118","±4,833","","±2,690","±2,580","±2,719","±2,701","±2,033","±1,437","±1,122","","±2,418","±3,574","±4,476","±4,902","","±1,550","±2,370","±3,772","±4,520","±3,044","±2,835"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,141,205","","","74.4%","21.8%","0.6%","1.4%","0.0%","0.6%","1.1%","2.8%","72.4%","","11.5%","15.4%","18.7%","23.0%","18.3%","9.8%","3.4%","","10.8%","31.1%","28.3%","29.8%","","4.3%","8.0%","18.3%","29.9%","17.3%","22.2%"
"        Margin of Error","±7,913","","","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.2","±0.2","±0.2","±0.2","±0.2","±0.1","±0.1","","±0.2","±0.3","±0.3","±0.3","","±0.1","±0.2","±0.3","±0.3","±0.2","±0.2"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","598,292","","","287,507","278,438","3,022","8,362","231","12,141","8,591","39,195","262,692","","218,520","118,286","94,144","85,045","50,271","22,074","9,952","","105,785","200,715","185,777","106,015","","112,481","162,782","200,187","82,278","20,428","20,136"
"        Margin of Error","±4,725","","","±3,842","±3,160","±474","±570","±127","±793","±636","±1,163","±3,644","","±3,148","±2,654","±2,365","±2,082","±1,429","±995","±662","","±2,189","±3,511","±3,344","±2,023","","±2,907","±3,504","±2,901","±2,292","±1,151","±980"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","598,292","","","48.1%","46.5%","0.5%","1.4%","0.0%","2.0%","1.4%","6.6%","43.9%","","36.5%","19.8%","15.7%","14.2%","8.4%","3.7%","1.7%","","17.7%","33.5%","31.1%","17.7%","","18.8%","27.2%","33.5%","13.8%","3.4%","3.4%"
"        Margin of Error","±4,725","","","±0.5","±0.4","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.4","","±0.5","±0.4","±0.4","±0.3","±0.2","±0.2","±0.1","","±0.3","±0.5","±0.5","±0.4","","±0.5","±0.6","±0.4","±0.3","±0.2","±0.2"
"Maine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","559,921","","","537,877","4,978","3,568","4,284","148","882","8,184","6,504","533,085","","86,603","78,891","104,061","123,584","97,531","48,232","21,019","","36,380","161,856","174,797","186,888","","48,653","71,577","121,944","145,020","78,752","93,975"
